wisid                                            ,school                                                     ,location                 ,latitude    ,longitude    , , ,
49004                                            ,"California State University, Fresno"                      ,"Fresno, CA"             ,36.81387055 ,-119.7446221 , , ,
49446                                            ,"California State University, Sacramento"                  ,"Sacramento, CA"         ,38.5598752  ,-121.424094  , , ,
49116                                            ,California University of Pennsylvania                      ,"California, PA"         ,40.06440075 ,-79.88442144 , , ,
49534                                            ,Capital University                                         ,"Columbus, OH"           ,39.95576605 ,-82.93762891 , , ,
49564                                            ,Carleton College                                           ,"Northfield, MN"         ,44.47183535 ,-93.14145806 , , ,
49241                                            ,Carnegie Mellon University                                 ,"Pittsburgh, PA"         ,40.4441619  ,-79.94272826 , , ,
49552                                            ,Carroll College (Wisconsin)                                ,"Waukesha, WI"           ,43.00395265 ,-88.22926409 , , ,
49465                                            ,Carson-Newman College                                      ,"Jefferson City, TN"     ,36.1214778  ,-83.489896   , , ,
49290                                            ,Carthage College                                           ,"Kenosha, WI"            ,42.6228148  ,-87.82233557 , , ,
49242                                            ,Case Western Reserve University                            ,"Cleveland, OH"          ,41.50138695 ,-81.60070216 , , ,
49466                                            ,Catawba College                                            ,"Salisbury, NC"          ,35.69155045 ,-80.48600853 , , ,
49546                                            ,Catholic University                                        ,"Washington, DC"         ,38.9391024  ,-77.0000     , , ,
49184                                            ,Central College (Iowa)                                     ,"Pella, IA"              ,41.401109   ,-92.920476   , , ,
49430                                            ,Central Connecticut State University                       ,"New Britain, CT"        ,41.69292775 ,-72.76553648 , , ,
48961                                            ,Central Michigan University                                ,"Mount Pleasant, MI"     ,43.58354995 ,-84.77464036 , , ,
49085                                            ,Central Missouri State University                          ,"Warrensburg, MO"        ,37.1985798  ,-93.2785105  , , ,
49482                                            ,Central Washington University                              ,"Ellensburg, WA"         ,47.00646895 ,-120.5367304 , , ,
49255                                            ,Centre College                                             ,"Danville, KY"           ,37.6439346  ,-84.7811679  , , ,
49122                                            ,Chadron State College                                      ,"Chadron, NE"            ,42.81741595 ,-102.9963155 , , ,
49226                                            ,Chapman University                                         ,"Orange, CA"             ,33.79338165 ,-117.8516896 , , ,
49034                                            ,Charleston Southern University                             ,"Charleston, SC"         ,32.9820743  ,-80.0723095  , , ,
49096                                            ,Cheyney University of Pennsylvania                         ,"Cheyney, PA"            ,39.93310325 ,-75.52916874 , , ,
49273                                            ,Chowan College                                             ,"Murfreesboro, NC"       ,36.4362644  ,-77.0991307  , , ,
49268                                            ,Christopher Newport University                             ,"Newport News, VA"       ,37.0637523  ,-76.49561542 , , ,
49312                                            ,Claremont McKenna College                                  ,"Claremont, CA"          ,34.0999577  ,-117.7039073 , , ,
49117                                            ,Clarion University of Pennsylvania                         ,"Clarion, PA"            ,41.2099684  ,-79.37779992 , , ,
49295                                            ,Clark Atlanta University                                   ,"Atlanta, GA"            ,33.7507255  ,-84.41155405 , , ,
49149                                            ,Clemson University                                         ,"Clemson, SC"            ,34.66869155 ,-82.83743476 , , ,
49035                                            ,Coastal Carolina University                                ,"Conway, SC"             ,33.7953292  ,-79.01271035 , , ,
49189                                            ,Coe College                                                ,"Cedar Rapids, IA"       ,41.9887318  ,-91.6580637  , , ,
49208                                            ,Colby College                                              ,"Waterville, ME"         ,44.5641482  ,-69.66244618 , , ,
49032                                            ,Colgate University                                         ,"Hamilton, NY"           ,42.8154037  ,-75.53958156 , , ,
49543                                            ,College of Mount St. Joseph                                ,"Cincinnati, OH"         ,39.0948316  ,-84.63803736 , , ,
49410                                            ,College of the Holy Cross                                  ,"Worcester, MA"          ,42.23677505 ,-71.80707989 , , ,
49434                                            ,College of William and Mary                                ,"Williamsburg, VA"       ,37.2698853  ,-76.71525593 , , ,
49232                                            ,College of Wooster                                         ,"Wooster, OH"            ,40.81161765 ,-81.93385832 , , ,
49320                                            ,Colorado College                                           ,"Colorado Springs, CO"   ,38.8480439  ,-104.8239509 , , ,
49123                                            ,Colorado School of Mines                                   ,"Golden, CO"             ,39.74906405 ,-105.2229822 , , ,
49350                                            ,Colorado State University                                  ,"Fort Collins, CO"       ,40.5709358  ,-105.0865526 , , ,
49024                                            ,Columbia University                                        ,"New York, NY"           ,40.8079488  ,-73.96179736 , , ,
49496                                            ,Concord University                                         ,"Athens, WV"             ,37.42577395 ,-81.00488262 , , ,
49560                                            ,"Concordia College, Moorhead "                             ,"Moorhead, MN"           ,46.862419   ,-96.76942575 , , ,
49178                                            ,Concordia University (Illinois)                            ,"River Forest, IL"       ,41.8993058  ,-87.80945756 , , ,
49148                                            ,Concordia University (Wisconsin)                           ,"Mequon, WI"             ,43.25434005 ,-87.91478392 , , ,
49104                                            ,"Concordia University, St. Paul "                          ,"Concordia, MN"          ,44.9477881  ,-93.15879131 , , ,
49190                                            ,Cornell College (D-III)                                    ,"Mt. Vernon, IA"         ,41.9253978  ,-91.42398553 , , ,
49029                                            ,Cornell University                                         ,"Ithaca, NY"             ,42.4505507  ,-76.4783513  , , ,
49570                                            ,Curry College                                              ,"Milton, MA"             ,42.2378786  ,-71.11471155 , , ,
49025                                            ,Dartmouth College                                          ,"Hanover, NH"            ,43.705244   ,-72.29052962 , , ,
49408                                            ,Davidson College                                           ,"Davidson, NC"           ,35.5032193  ,-80.83393028 , , ,
49544                                            ,Defiance College                                           ,"Defiance, OH"           ,41.2978185  ,-84.35295442 , , ,
49414                                            ,Delaware State University                                  ,"Dover, DE"              ,39.1867993  ,-75.54235828 , , ,
49325                                            ,Delaware Valley College                                    ,"Doylestown, PA"         ,40.1226735  ,-74.8502751  , , ,
49067                                            ,Delta State University                                     ,"Cleveland, MS"          ,33.747589   ,-90.73290036 , , ,
49237                                            ,Denison University                                         ,"Granville, OH"          ,40.07300505 ,-82.52248588 , , ,
49348                                            ,DePaul University                                          ,"Chicago, IL"            ,41.92401995 ,-87.65472634 , , ,
49256                                            ,DePauw University                                          ,"Greencastle, IN"        ,39.6397676  ,-86.861676   , , ,
49313                                            ,Dickinson College                                          ,"Carlisle, PA"           ,40.2028111  ,-77.19957448 , , ,
49402                                            ,Drake University                                           ,"Des Moines, IA"         ,41.60307425 ,-93.6552742  , , ,
49150                                            ,Duke University                                            ,"Durham, NC"             ,36.0001557  ,-78.94422972 , , ,
49415                                            ,Duquesne University                                        ,"Pittsburgh, PA"         ,40.43814605 ,-79.99213564 , , ,
49238                                            ,Earlham College                                            ,"Richmond, IN"           ,39.8204275  ,-84.91323124 , , ,
49363                                            ,East Carolina University                                   ,"Greenville, NC"         ,35.60737685 ,-77.36715661 , , ,
49073                                            ,East Central University                                    ,"Ada, OK"                ,34.77281745 ,-96.66141628 , , ,
49111                                            ,East Stroudsburg University of Pennsylvania                ,"East Stroudsburg, PA"   ,40.9979175  ,-75.17268177 , , ,
49042                                            ,East Tennessee State University                            ,"Johnson City, TN"       ,36.3022214  ,-82.36945751 , , ,
49301                                            ,East Texas Baptist University                              ,"Marshall, TX"           ,32.5576949  ,-94.37507491 , , ,
49389                                            ,Eastern Illinois University                                ,"Charleston, IL"         ,39.47681685 ,-88.17038887 , , ,
49395                                            ,Eastern Kentucky University                                ,"Richmond, KY"           ,37.7381352  ,-84.3015987  , , ,
49380                                            ,Eastern Michigan University                                ,"Ypsilanti, MI"          ,42.25224625 ,-83.62456152 , , ,
