wis_id,school_short,location,coach,,,,
49560,"Concordia College, Moorhead ","Moorhead, MN",Sim AI,,,,
49178,Concordia University (Illinois) ,"River Forest, IL",Sim AI,,,,
49148,Concordia University (Wisconsin) ,"Mequon, WI",Sim AI,,,,
49104,"Concordia University, St. Paul ","Concordia, MN",Sim AI,,,,
49190,Cornell College (D-III),"Mt. Vernon, IA",wallypipp,,,,
49029,Cornell University,"Ithaca, NY",Sim AI,,,,
49570,Curry College,"Milton, MA",Sim AI,,,,
49025,Dartmouth College,"Hanover, NH",Sim AI,,,,
49408,Davidson College,"Davidson, NC",dhomard,,,,
49544,Defiance College,"Defiance, OH",swarefl,,,,
49414,Delaware State University,"Dover, DE",Sim AI,,,,
49325,Delaware Valley College,"Doylestown, PA",Sim AI,,,,
49067,Delta State University,"Cleveland, MS",clintmitch,,,,
49237,Denison University,"Granville, OH",Sim AI,,,,
49348,DePaul University,"Chicago, IL",Sim AI,,,,
49256,DePauw University,"Greencastle, IN",Sim AI,,,,
49313,Dickinson College,"Carlisle, PA",Da Stinkos,,,,
49402,Drake University,"Des Moines, IA",Sim AI,,,,
49150,Duke University,"Durham, NC",Sim AI,,,,
49415,Duquesne University,"Pittsburgh, PA",Sim AI,,,,
49238,Earlham College,"Richmond, IN",Sim AI,,,,
49363,East Carolina University,"Greenville, NC",robert porta,,,,
49073,East Central University,"Ada, OK",Sim AI,,,,
49111,East Stroudsburg University of Pennsylvania ,"East Stroudsburg, PA",Sim AI,,,,
49042,East Tennessee State University,"Johnson City, TN",wizbang1943,,,,
49301,East Texas Baptist University,"Marshall, TX",Sim AI,,,,
49389,Eastern Illinois University,"Charleston, IL",aaflyman,,,,
49395,Eastern Kentucky University,"Richmond, KY",Sim AI,,,,
49380,Eastern Michigan University,"Ypsilanti, MI",Sim AI,,,,
49081,Eastern New Mexico University,"Portales, NM",Sim AI,,,,
49527,Eastern Oregon University,"La Grande, OR",frmrd3coach,,,,
49447,Eastern Washington University,"Cheney, WA",Sim AI,,,,
49118,Edinboro University of Pennsylvania ,"Edinboro, PA",Sim AI,,,,
49507,Elizabeth City State University,"Elizabeth City, NC",Sim AI,,,,
49179,Elmhurst College,"Elmhurst, IL",Sim AI,,,,
49043,Elon University,"Elon, NC",Sim AI,,,,
49547,Emory and Henry College,"Emory, VA",Sim AI,,,,
49086,Emporia State University,"Emporia, KS",Sim AI,,,,
49571,Endicott College,"Beverly, MA",Sim AI,,,,
49173,Eureka College,"Eureka, IL",Sim AI,,,,
49330,Fairleigh Dickinson University,"Madison, NJ",Sim AI,,,"Fairleigh Dickinson University, Madison ",
49497,Fairmont State College,"Fairmont, WV",JZUA2007,,,,
49512,Fayetteville State University,"Fayetteville, NC",jakowalski14,,,,
49524,Ferris State University,"Big Rapids, MI",tiltwar,,,,
49269,Ferrum College,"Ferrum, VA",scooby24210,,,,
49202,Fitchburg State College,"Fitchburg, MA",Sim AI,,,,
49412,Florida Agricultural and Mechanical University,"Tallahassee, FL",zfarmer100,,,Florida A&M University,
49445,Florida Atlantic University,"Boca Raton, FL",garmansouth,,,,
49019,Florida International University,"Miami, FL",bucsbulls,,,,
49155,Florida State University,"Tallahassee, FL",Bulldog120,,,,
49411,Fordham University,"Bronx, NY",Sim AI,,,,
49124,Fort Hays State University,"Hays, KS",Sim AI,,,,
49460,Fort Lewis College,"Durango, CO",Sim AI,,,,
49291,Fort Valley State University,"Fort Valley, GA",Sim AI,,,,
