wisid,record,conference,coach,division,location
53518,7-6,Gateway,Sim AI,D-IAA,"Carbondale, IL"
53472,5-8,C-USA,Sim AI,D-IA,"Dallas, TX"
53308,2-11,SWAC,Sim AI,D-IAA,"Baton Rouge, LA"
53625,5-8,MIAA,Sim AI,D-II,"Bolivar, MO"
53659,8-5,FFBC,Sim AI,D-III,"Springfield, MA"
53322,4-9,CIAA,Sim AI,D-II,"Raleigh, NC"
53335,2-11,NCC,Sim AI,D-II,"St. Cloud, MN"
53663,6-7,FFBC,Sim AI,D-III,"Rochester, NY"
53729,3-10,MIAC,Sim AI,D-III,"Collegeville, MN"
53509,2-11,Big Sky,Sim AI,D-IAA,"Moraga, CA"
53718,10-4,MWC,Sim AI,D-III,"De Pere, WI"
53569,2-11,OVC,Sim AI,D-IAA,"Jersey City, NJ"
53700,12-3,MIAA,Sim AI,D-III,"Brockport, NY"
53514,6-7,Big Sky,Sim AI,D-IAA,"Nacogdoches, TX"
53795,8-5,NWC,Sim AI,D-III,"Tuscaloosa, AL"
53352,5-8,NE-10,Sim AI,D-II,"Easton, MA"
53637,8-5,ASC,Sim AI,D-III,"Alpine, TX"
53705,3-10,MAC,Sim AI,D-III,"Selinsgrove, PA"
53610,6-7,LSC,Sim AI,D-II,"Stephenville, TX"
53575,9-5,OVC,Sim AI,D-IAA,"Nashville, TN"
53565,5-8,OVC,Sim AI,D-IAA,"Cookeville, TN"
53437,6-7,Big 12,Sim AI,D-IA,"College Station, TX"
53413,13-2,SIAC,powercatryan,D-II,"Rensselaer, IN"
53513,16-1,Big Sky,drcoach76,D-IAA,"Huntsville, TX"
53400,7-6,SAC,SGammon77,D-II,"Shepherdstown, WV"
53608,11-4,LSC,maitaimojo,D-II,"Durant, OK"
53527,11-4,Gateway,dunkonyou,D-IAA,"Cedar City, UT"
53609,4-9,LSC,BlackHaze187,D-II,"Weatherford, OK"
53650,17-0,CC,jorba98,D-III,"Canton, NY"
53733,17-0,MIAC,mfnmyers,D-III,"Northfield, MN"
53497,14-0,PAC-10,katzphang88,D-IA,"Stanford, CA"
53764,6-7,NJAC,tlynch16,D-III,"Cortland, NY"
53555,12-3,NEC,veejay,D-IAA,"Stony Brook, NY"
53440,10-4,Big East,champ83,D-IA,"Syracuse, NY"
53441,10-4,Big East,bremiro,D-IA,"Philadelphia, PA"
53615,2-11,LSC,Sim AI,D-II,"Commerce, TX"
53616,6-7,LSC,Sim AI,D-II,"Kingsville, TX"
53469,9-5,C-USA,Sim AI,D-IA,"Fort Worth, TX"
53638,6-7,ASC,Sim AI,D-III,"Seguin, TX"
53309,7-6,SWAC,Sim AI,D-IAA,"Houston, TX"
53515,9-4,Big Sky,Sim AI,D-IAA,"San Marcos, TX"
53436,2-11,Big 12,Sim AI,D-IA,"Lubbock, TX"
53291,5-8,SoCon,Sim AI,D-IAA,"Charleston, SC"
53765,8-6,NJAC,Sim AI,D-III,"Ewing, NJ"
53686,5-8,IIAC,Sim AI,D-III,"Greenville, PA"
53843,0-13,USA South,Sim AI,D-III,"Crestview Hills, KY"
53563,4-9,NEC,Sim AI,D-IAA,"Towson, MD"
53752,1-12,NESCAC,Sim AI,D-III,"Hartford, CT"
53826,4-9,SCAC,Sim AI,D-III,"San Antonio, TX"
53265,4-9,Sun Belt,Sim AI,D-IA,"Troy, AL"
53623,3-10,MIAA,Sim AI,D-II,"Kirksville, MO"
53470,7-7,C-USA,Sim AI,D-IA,"New Orleans, LA"
53655,4-9,FFBC,Sim AI,D-III,"New London, CT"
53656,9-4,FFBC,Sim AI,D-III,"Kings Point, NY"
53651,4-9,CC,Sim AI,D-III,"Schenectady, NY"
53556,10-4,NEC,Sim AI,D-IAA,"Albany, NY"
