wisid,record,conference,coach,division,location
53374,6-7,PSAC,Sim AI,D-II,"Clarion, PA"
53683,11-2,IIAC,Sim AI,D-III,"Cedar Rapids, IA"
53750,4-9,NESCAC,Sim AI,D-III,"Waterville, ME"
53537,4-9,Ivy,Sim AI,D-IAA,"Hamilton, NY"
53807,5-8,OAC,Sim AI,D-III,"Cincinnati, OH"
53538,4-9,Ivy,Sim AI,D-IAA,"Worcester, MA"
53774,5-8,NCAC,Sim AI,D-III,"Wooster, OH"
53380,6-7,RMAC,Sim AI,D-II,"Golden, CO"
53450,5-8,Big East,Sim AI,D-IA,"Fort Collins, CO"
53529,7-6,Ivy,Sim AI,D-IAA,"New York, NY"
53353,4-9,NE-10,Sim AI,D-II,"Athens, WV"
53727,0-13,MIAC,Sim AI,D-III,"Moorhead, MN"
53672,5-8,IBFC,Sim AI,D-III,"River Forest, IL"
53666,1-12,IBFC,Sim AI,D-III,"Mequon, WI"
53361,9-4,NSIC,Sim AI,D-II,"Concordia, MN"
53684,5-8,IIAC,Sim AI,D-III,"Mt. Vernon, IA"
53534,5-8,Ivy,Sim AI,D-IAA,"Ithaca, NY"
53504,15-2,Big Sky,zerfo,D-IAA,"Sacramento, CA"
53373,13-3,PSAC,plk311,D-II,"California, PA"
53798,9-4,OAC,Ukie94,D-III,"Columbus, OH"
53731,12-4,MIAC,htbaxter,D-III,"Northfield, MN"
53783,13-2,NCAC,samM90,D-III,"Pittsburgh, PA"
53719,7-6,MWC,grobbins,D-III,"Waukesha, WI"
53391,15-1,SAC,westolla,D-II,"Jefferson City, TN"
53618,14-3,MIAA,S_Cottrell23,D-II,"Warrensburg, MO"
53330,16-1,MIAA,theRobHatfie,D-II,"Cheyney, PA"
53409,9-5,SIAC,groundnpound,D-II,"Atlanta, GA"
53415,10-4,ACC,tenaciousdx,D-IA,"Clemson, SC"
53587,10-4,PFL,abdfl,D-IAA,"Conway, SC"
53278,8-5,A10,pcbell702,D-IAA,"Williamsburg, VA"
53697,9-4,MIAA,harley04,D-III,"Colorado Springs, CO"
53737,6-7,NEFC,Sim AI,D-III,"Milton, MA"
53530,5-9,Ivy,Sim AI,D-IAA,"Hanover, NH"
53583,7-6,PFL,Sim AI,D-IAA,"Davidson, NC"
53808,6-7,OAC,Sim AI,D-III,"Defiance, OH"
53542,5-8,MEAC,Sim AI,D-IAA,"Dover, DE"
53702,3-10,MAC,Sim AI,D-III,"Doylestown, PA"
53600,4-9,GSC,Sim AI,D-II,"Cleveland, MS"
53779,4-9,NCAC,Sim AI,D-III,"Granville, OH"
53822,9-5,SCAC,Sim AI,D-III,"Greencastle, IN"
53641,8-5,CC,Sim AI,D-III,"Carlisle, PA"
53577,5-8,PFL,Sim AI,D-IAA,"Des Moines, IA"
53543,2-11,MEAC,Sim AI,D-IAA,"Pittsburgh, PA"
53780,7-6,NCAC,Sim AI,D-III,"Richmond, IN"
53463,6-7,C-USA,Sim AI,D-IA,"Greenville, NC"
53606,3-10,LSC,Sim AI,D-II,"Ada, OK"
53294,2-11,SoCon,Sim AI,D-IAA,"Johnson City, TN"
53564,7-7,OVC,Sim AI,D-IAA,"Charleston, IL"
53570,12-3,OVC,Sim AI,D-IAA,"Richmond, KY"
53480,1-12,MAC,Sim AI,D-IA,"Ypsilanti, MI"
53614,3-10,LSC,Sim AI,D-II,"Portales, NM"
53791,10-3,NWC,Sim AI,D-III,"La Grande, OR"
53505,5-8,Big Sky,Sim AI,D-IAA,"Cheney, WA"
53375,0-13,PSAC,Sim AI,D-II,"Edinboro, PA"
53295,10-5,SoCon,Sim AI,D-IAA,"Elon, NC"
53811,9-4,ODAC,Sim AI,D-III,"Emory, VA"
53619,3-10,MIAA,Sim AI,D-II,"Emporia, KS"
53738,7-7,NEFC,Sim AI,D-III,"Beverly, MA"
53707,6-7,MAC,Sim AI,D-III,"Madison, NJ"
53318,10-3,CIAA,Sim AI,D-II,"Fayetteville, NC"
53588,5-8,GLIAC,Sim AI,D-II,"Big Rapids, MI"
53744,4-9,NEFC,Sim AI,D-III,"Fitchburg, MA"
53503,6-7,A10,Sim AI,D-IAA,"Boca Raton, FL"
53524,1-12,Gateway,Sim AI,D-IAA,"Miami, FL"
53539,3-10,Ivy,Sim AI,D-IAA,"Bronx, NY"
53759,14-2,NESCAC,Sim AI,D-III,"Framingham, MA"
53642,8-5,CC,Sim AI,D-III,"Lancaster, PA"
53818,7-6,ODAC,Sim AI,D-III,"Franklin, IN"
53792,4-9,NWC,Sim AI,D-III,"Frostburg, MD"
53317,0-13,CIAA,Sim AI,D-II,"Erie, PA"
53417,4-9,ACC,Sim AI,D-IA,"Atlanta, GA"
53290,5-8,SoCon,Sim AI,D-IAA,"Statesboro, GA"
53643,4-9,CC,Sim AI,D-III,"Gettysburg, PA"
53399,3-10,SAC,Sim AI,D-II,"Glenville, WV"
53411,3-10,SIAC,Sim AI,D-II,"Atlanta, GA"
53416,5-8,ACC,sjurat,D-IA,"Durham, NC"
53629,16-1,ASC,kcindc02spor,D-III,"Marshall, TX"
53313,5-8,CIAA,KALP7669,D-II,"Elizabeth City, NC"
53673,9-4,IBFC,tom_landry,D-III,"Elmhurst, IL"
53667,13-2,IBFC,sammyboy40,D-III,"Eureka, IL"
53354,17-0,NE-10,wyvern737,D-II,"Fairmont, WV"
53835,12-3,USA South,coach_ruiz,D-III,"Ferrum, VA"
53540,14-3,MEAC,rh01647,D-IAA,"Tallahassee, FL"
53421,11-2,ACC,steeler_dawg,D-IA,"Tallahassee, FL"
53381,14-2,RMAC,jayhawkgrant,D-II,"Hays, KS"
53386,13-2,RMAC,sasatchi,D-II,"Durango, CO"
53405,9-4,SIAC,alansonja,D-II,"Fort Valley, GA"
53289,14-2,SoCon,majresorter,D-IAA,"Greenville, SC"
53305,9-5,SWAC,starfinder77,D-IAA,"Boiling Springs, NC"
53560,12-3,NEC,bobbypurify,D-IAA,"Washington, DC"
53306,10-4,SWAC,warrior0510,D-IAA,"Grambling, LA"
53325,3-10,GLIAC,Sim AI,D-II,"Allendale, MI"
53836,9-4,USA South,Sim AI,D-III,"Greensboro, NC"
53668,4-9,IBFC,Sim AI,D-III,"Greenville, IL"
53720,7-6,MWC,Sim AI,D-III,"Grinnell, IA"
53735,7-6,MIAC,Sim AI,D-III,"Grove City, PA"
53812,2-11,ODAC,Sim AI,D-III,"Greensboro, NC"
53728,5-8,MIAC,Sim AI,D-III,"St. Peter, MN"
53757,7-6,NESCAC,Sim AI,D-III,"Clinton, NY"
53732,8-5,MIAC,Sim AI,D-III,"St. Paul, MN"
53813,5-8,ODAC,Sim AI,D-III,"Hampden-Sydney, VA"
53547,9-4,MEAC,Sim AI,D-IAA,"Hampton, VA"
53819,4-9,ODAC,Sim AI,D-III,"Hanover, IN"
53595,7-6,GSC,Sim AI,D-II,"Searcy, AR"
53630,6-7,ASC,Sim AI,D-III,"Abilene, TX"
53661,4-9,FFBC,Sim AI,D-III,"Oneonta, NY"
53531,9-4,Ivy,Sim AI,D-IAA,"Boston, MA"
53601,6-7,GSC,Sim AI,D-II,"Arkadelphia, AR"
53781,8-5,NCAC,Sim AI,D-III,"Hiram, OH"
53648,5-8,CC,Sim AI,D-III,"Geneva, NY"
53284,5-8,A10,Sim AI,D-IAA,"Hempstead, NY"
53692,4-9,MIAA,Sim AI,D-III,"Holland, MI"
53631,6-7,ASC,Sim AI,D-III,"Brownwood, TX"
53548,3-10,MEAC,Sim AI,D-IAA,"Washington, DC"
53340,0-13,NCC,Sim AI,D-II,"Arcata, CA"
53699,7-6,MIAA,Sim AI,D-III,"Bangor, ME"
53510,9-5,Big Sky,Sim AI,D-IAA,"Pocatello, ID"
53674,5-8,IBFC,Sim AI,D-III,"Bloomington, IL"
53517,2-11,Gateway,Sim AI,D-IAA,"Terre Haute, IN"
53460,6-8,Big Ten,Sim AI,D-IA,"Bloomington, IN"
53567,5-8,OVC,Sim AI,D-IAA,"New Rochelle, NY"
53432,7-7,Big 12,Sim AI,D-IA,"Ames, IA"
53662,5-8,FFBC,Sim AI,D-III,"Ithaca, NY"
53571,7-6,OVC,Sim AI,D-IAA,"Jacksonville, AL"
53584,3-10,PFL,Sim AI,D-IAA,"Jacksonville, FL"
53279,6-7,A10,Sim AI,D-IAA,"Harrisonburg, VA"
53799,1-12,OAC,Sim AI,D-III,"University Heights, OH"
53319,3-10,CIAA,Sim AI,D-II,"Charlotte, NC"
53708,8-5,MAC,Sim AI,D-III,"Huntingdon, PA"
53693,5-8,MIAA,Sim AI,D-III,"Kalamazoo, MI"
53427,6-7,Big 12,Sim AI,D-IA,"Manhattan, KS"
53761,4-9,NJAC,Sim AI,D-III,"Union, NJ"
53477,5-8,MAC,Sim AI,D-IA,"Kent, OH"
53412,3-10,SIAC,Sim AI,D-II,"Owensboro, KY"
53775,10-4,NCAC,Sim AI,D-III,"Gambier, OH"
53721,7-6,MWC,Sim AI,D-III,"Galesburg, IL"
53369,1-12,PSAC,Sim AI,D-II,"Kutztown, PA"
53544,7-6,MEAC,Sim AI,D-IAA,"Philadelphia, PA"
53561,6-7,NEC,Sim AI,D-IAA,"Easton, PA"
53715,3-10,MWC,Sim AI,D-III,"Lake Forest, IL"
53669,5-8,IBFC,Sim AI,D-III,"Sheboygan, WI"
53722,4-9,MWC,Sim AI,D-III,"Appleton, WI"
53709,7-6,MAC,Sim AI,D-III,"Annville, PA"
53549,7-6,MEAC,Sim AI,D-IAA,"Baltimore, MD"
53769,8-5,NJAC,tommyweather,D-III,"Montgomery, AL"
53714,10-3,MWC,Ginette2020,D-III,"Jacksonville, IL"
53516,14-2,Gateway,bjschumacher,D-IAA,"Normal, IL"
53376,10-4,PSAC,davidbutler9,D-II,"Indiana, PA"
53303,11-4,SWAC,blaines,D-IAA,"Jackson, MS"
53644,13-2,CC,STiNgTunic,D-III,"Baltimore, MD"
53406,16-1,SIAC,thejargon,D-II,"Frankfort, KY"
53703,4-9,MAC,sonozero,D-III,"Wilkes-Barre, PA"
53410,7-6,SIAC,stumpydoodle,D-II,"Jackson, TN"
53562,5-8,NEC,Sim AI,D-IAA,"Bethlehem, PA"
53786,4-9,NWC,Sim AI,D-III,"Mc Minnville, OR"
53320,6-7,CIAA,Sim AI,D-II,"Salisbury, NC"
53628,7-6,MIAA,Sim AI,D-II,"Lock Haven, PA"
53679,5-8,IIAC,Sim AI,D-III,"Dubuque, IA"
53632,10-3,ASC,Sim AI,D-III,"Pineville, LA"
53266,6-7,WAC,Sim AI,D-IA,"Ruston, LA"
53680,5-8,IIAC,Sim AI,D-III,"Decorah, IA"
53704,5-8,MAC,Sim AI,D-III,"Williamsport, PA"
53670,7-6,IBFC,Sim AI,D-III,"Jacksonville, IL"
53745,6-7,NEFC,Sim AI,D-III,"Castine, ME"
53820,0-13,ODAC,Sim AI,D-III,"North Manchester, IN"
53840,10-3,USA South,Sim AI,D-III,"Watertown, WI"
53804,4-9,OAC,Sim AI,D-III,"Marietta, OH"
53568,7-6,OVC,Sim AI,D-IAA,"Poughkeepsie, NY"
53449,4-9,Big East,Sim AI,D-IA,"Milwaukee, WI"
53393,4-9,SAC,Sim AI,D-II,"Mars Hill, NC"
53698,7-6,MIAA,Sim AI,D-III,"New Ulm, MN"
53841,5-8,USA South,Sim AI,D-III,"Maryville, TN"
53760,9-4,NESCAC,Sim AI,D-III,"Cambridge, MA"
53746,6-7,NEFC,Sim AI,D-III,"Buzzards Bay, MA"
53633,2-11,ASC,Sim AI,D-III,"Abilene, TX"
53297,5-8,SoCon,Sim AI,D-IAA,"Lake Charles, LA"
53326,3-10,GLIAC,Sim AI,D-II,"Erie, PA"
53347,3-10,NE-10,Sim AI,D-II,"North Andover, MA"
53387,6-7,RMAC,Sim AI,D-II,"Grand Junction, CO"
53837,4-9,USA South,Sim AI,D-III,"Fayetteville, NC"
53475,6-7,MAC,Sim AI,D-IA,"Oxford, OH"
53452,2-11,Big Ten,Sim AI,D-IA,"East Lansing, MI"
53590,3-10,GLIAC,Sim AI,D-II,"Houghton, MI"
53751,7-6,NESCAC,Sim AI,D-III,"Middlebury, VT"
53382,8-5,RMAC,Sim AI,D-II,"Wichita Falls, TX"
53853,3-10,WIAC,Sim AI,D-III,"Decatur, IL"
53823,6-7,SCAC,Sim AI,D-III,"Jackson, MS"
53356,6-7,NSIC,Sim AI,D-II,"Moorhead, MN"
53636,8-5,ASC,Sim AI,D-III,"Clinton, MS"
53250,5-8,SEC,Sim AI,D-IA,"Mississippi St., MS"
53624,4-9,MIAA,Sim AI,D-II,"Joplin, MO"
53620,9-4,MIAA,Sim AI,D-II,"St. Joseph, MO"
53716,3-10,MWC,Sim AI,D-III,"Monmouth, IL"
53552,6-7,NEC,Sim AI,D-IAA,"West Long Branch, NJ"
53512,2-11,Big Sky,Sim AI,D-IAA,"Bozeman, MT"
53762,6-7,NJAC,Sim AI,D-III,"Upper Montclair, NJ"
53710,6-7,MAC,Sim AI,D-III,"Bethlehem, PA"
53585,11-4,PFL,Sim AI,D-IAA,"Morehead, KY"
53785,12-3,NWC,jgranberg,D-III,"Portland, OR"
